商品代碼,商品名稱,時間,成交價,漲跌,單量,開盤價,最高價,最低價,成交量,買價,賣價,理論價,漲停價,跌停價,資料更新日期,買價1,買價2,買價3,買價4,買價5,賣價1,賣價2,賣價3,賣價4,賣價5,委買量1,委買量2,委買量3,委買量4,委買量5,委賣量1,委賣量2,委賣量3,委賣量4,委賣量5
TXFH8,台指期08,5416,10923,-16,1,10948,10967,10918,17715,10922,10923,11042.51,12032,9846,20180730,10922,10921,10920,10919,10918,10923,10924,10925,10926,10927,3,20,37,26,38,12,13,25,22,11
TXFH8,台指期08,5433,10922,-17,1,10948,10967,10918,17716,10922,10923,11042.51,12032,9846,20180730,10922,10921,10920,10919,10918,10923,10924,10925,10926,10927,9,23,37,26,41,10,13,24,22,11
TXFH8,台指期08,5437,10923,-16,10,10948,10967,10918,17726,10922,10924,11042.51,12032,9846,20180730,10922,10921,10920,10919,10918,10924,10925,10926,10927,10928,14,23,38,26,41,13,24,23,11,6
TXFH8,台指期08,5458,10923,-16,1,10948,10967,10918,17727,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,10,18,18,43,20,7,25,16,17,9
TXFH8,台指期08,5500,10924,-15,2,10948,10967,10918,17729,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,10,18,17,44,20,7,25,16,17,9
TXFH8,台指期08,5502,10923,-16,1,10948,10967,10918,17730,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,9,19,17,43,20,11,25,16,17,11
TXFH8,台指期08,5504,10923,-16,1,10948,10967,10918,17731,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,8,19,17,43,20,12,25,17,16,11
TXFH8,台指期08,5512,10923,-16,1,10948,10967,10918,17732,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,8,19,17,43,20,18,33,17,16,11
TXFH8,台指期08,5516,10924,-15,2,10948,10967,10918,17734,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,16,19,18,42,20,4,33,16,17,11
TXFH8,台指期08,5522,10924,-15,5,10948,10967,10918,17739,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,19,18,18,36,20,2,33,16,17,11
TXFH8,台指期08,5523,10924,-15,1,10948,10967,10918,17740,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,19,18,18,36,20,1,33,16,17,11
TXFH8,台指期08,5525,10924,-15,1,10948,10967,10918,17741,10923,10925,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10925,10926,10927,10928,10929,19,18,18,36,20,33,16,17,11,9
TXFH8,台指期08,5538,10924,-15,1,10948,10967,10918,17742,10923,10925,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10925,10926,10927,10928,10929,20,18,23,32,20,33,17,12,16,10
TXFH8,台指期08,5541,10924,-15,1,10948,10967,10918,17743,10923,10925,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10925,10926,10927,10928,10929,19,19,18,37,20,33,17,17,11,11
TXFH8,台指期08,5554,10925,-14,15,10948,10967,10918,17758,10924,10925,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10925,10926,10927,10928,10929,5,23,20,22,34,6,17,12,16,11
TXFH8,台指期08,5604,10925,-14,1,10948,10967,10918,17759,10924,10925,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10925,10926,10927,10928,10929,7,22,20,22,34,3,17,11,17,10
TXFH8,台指期08,5606,10925,-14,3,10948,10967,10918,17765,10925,10926,11042.51,12032,9846,20180730,10925,10924,10923,10922,10921,10926,10927,10928,10929,10930,8,18,22,20,22,10,11,17,10,25
TXFH8,台指期08,5606,10926,-13,1,10948,10967,10918,17772,10925,10927,11042.51,12032,9846,20180730,10925,10924,10923,10922,10921,10927,10928,10929,10930,10931,15,18,21,25,15,12,11,16,25,13
TXFH8,台指期08,5606,10926,-13,1,10948,10967,10918,17773,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,12,16,17,27,19,4,12,10,31,13
TXFH8,台指期08,5608,10926,-13,5,10948,10967,10918,17778,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,8,15,17,27,19,10,12,10,31,13
TXFH8,台指期08,5608,10926,-13,1,10948,10967,10918,17779,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,3,15,16,28,19,4,12,10,31,13
TXFH8,台指期08,5610,10926,-13,1,10948,10967,10918,17780,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,4,15,16,28,19,8,12,11,30,13
TXFH8,台指期08,5612,10926,-13,1,10948,10967,10918,17781,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,3,15,16,27,19,18,12,11,30,13
